91285 PHTO Hilo Observations at 00Z 27 Sep 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1012.0     12   29.0   20.0     58  14.77     35      8  301.1  344.8  303.8
 1000.0    121   26.2   19.2     65  14.21     35     10  299.4  341.0  301.9
  994.0    174   24.8   17.8     65  13.07     34     10  298.5  336.7  300.8
  979.3    305   23.5   17.8     71  13.27     30     10  298.4  337.2  300.8
  972.0    370   22.8   17.8     73  13.37     31     10  298.4  337.4  300.8
  952.0    551   21.2   16.8     76  12.80     34      8  298.5  336.0  300.8
  945.6    610   21.4   13.2     59  10.19     35      8  299.3  329.4  301.2
  936.0    699   21.8    7.8     41   7.14     40      8  300.6  322.0  301.9
  925.0    801   20.6    9.6     49   8.17     45      7  300.4  324.8  301.9
  913.0    914   19.6   10.1     54   8.57     35      7  300.5  326.0  302.0
  901.0   1028   18.6   10.6     60   8.98     28      7  300.6  327.3  302.2
  884.0   1191   17.8    4.8     42   6.14     17      7  301.4  320.0  302.5
  881.1   1219   17.5    5.5     45   6.49     15      7  301.4  321.0  302.6
  867.0   1357   16.2    9.2     63   8.49      6      7  301.4  326.8  302.9
  863.0   1396   16.2    8.2     59   7.96      3      6  301.8  325.7  303.2
  858.0   1445   16.2    5.2     48   6.50      0      6  302.3  322.0  303.5
  853.0   1495   15.6    7.6     59   7.73    357      6  302.2  325.5  303.6
  850.0   1525   15.8    4.8     48   6.38    355      6  302.7  322.1  303.9
  848.0   1545   15.8    1.8     39   5.17    355      6  302.9  318.8  303.8
  843.0   1595   15.2    6.2     55   7.10    355      5  302.8  324.3  304.1
  838.0   1646   15.0    5.0     51   6.57    355      5  303.1  323.1  304.3
  829.0   1737   15.0    0.0     36   4.64    355      4  304.0  318.4  304.9
  820.0   1829   14.9   -0.1     36   4.65    355      3  304.9  319.3  305.7
  796.0   2080   14.6   -0.4     36   4.69    123      3  307.1  321.9  308.0
  790.9   2134   14.3   -0.6     36   4.65    150      3  307.4  322.0  308.2
  762.8   2438   12.5   -1.8     37   4.43      0      0  308.6  322.7  309.4
  752.0   2558   11.8   -2.2     38   4.35    331      2  309.1  323.0  309.9
  745.0   2636   11.8   -6.2     28   3.24    311      3  309.9  320.5  310.6
  736.0   2738   12.4   -6.6     26   3.18    286      5  311.7  322.1  312.3
  735.5   2743   12.4   -6.7     26   3.16    285      5  311.7  322.1  312.3
  700.0   3157   11.6  -15.4     14   1.66    230      2  315.3  321.0  315.6
  695.0   3217   11.2  -16.8     12   1.48    240      2  315.5  320.6  315.8
  671.0   3509    9.2  -15.8     15   1.67    290      2  316.4  322.2  316.8
  659.0   3658    8.4  -25.6      7   0.73    315      2  317.2  319.8  317.3
  659.0   3658    8.4  -25.6      7   0.73    315      2  317.2  319.8  317.3
  635.0   3962    6.1  -21.4     12   1.09     60      1  317.9  321.8  318.1
  626.0   4079    5.2  -19.8     14   1.28     60      3  318.2  322.7  318.5
  611.7   4267    4.0  -24.3     11   0.88     60      7  318.9  322.1  319.1
  600.0   4424    3.0  -28.0      8   0.64     55     10  319.5  321.9  319.7
  582.0   4670    2.4  -38.6      3   0.23     47     16  321.6  322.6  321.7
  567.3   4877    3.0  -43.9      2   0.14     40     20  324.7  325.3  324.7
  562.0   4952    3.2  -45.8      1   0.11     39     20  325.8  326.3  325.8
  537.0   5320    1.8  -44.2      2   0.14     33     18  328.4  329.0  328.4
  530.0   5425    0.8  -28.2      9   0.71     31     17  328.4  331.1  328.6
  506.3   5791   -1.9  -27.4     12   0.80     25     15  329.5  332.5  329.6
  503.0   5843   -2.3  -27.3     13   0.81     20     14  329.6  332.7  329.8
  500.0   5890   -2.5  -27.5     13   0.80     15     13  329.9  333.0  330.1
  487.0   6096   -4.0  -29.0     12   0.72      0      9  330.6  333.4  330.8
  450.5   6706   -8.3  -33.3     11   0.51      0      4  332.6  334.6  332.7
  441.0   6874   -9.5  -34.5     11   0.47     11      7  333.1  335.0  333.2
  433.2   7010  -10.6  -34.2     12   0.49     20     10  333.5  335.4  333.6
  408.0   7470  -14.1  -33.1     18   0.58      5     12  334.7  336.9  334.8
  400.0   7620  -15.1  -35.1     16   0.49      0     13  335.3  337.2  335.4
  375.0   8104  -19.3  -43.3     10   0.22    344     15  336.0  336.9  336.0
  368.7   8230  -20.1  -41.0     14   0.29    340     15  336.5  337.7  336.5
  363.0   8345  -20.9  -38.9     18   0.36    340     16  337.0  338.4  337.0
  353.0   8550  -22.9  -45.9     10   0.18    340     17  337.0  337.7  337.0
  339.3   8839  -25.3  -44.0     16   0.23    340     18  337.5  338.5  337.6
  337.0   8888  -25.7  -43.7     17   0.24    338     18  337.6  338.6  337.7
  325.2   9144  -27.7  -47.8     13   0.16    325     18  338.4  339.1  338.4
  311.6   9449  -30.0  -52.7      9   0.09    310     16  339.3  339.7  339.3
  300.0   9720  -32.1  -57.1      7   0.06    310     16  340.0  340.3  340.0
  296.0   9815  -32.7  -57.7      6   0.05    311     16  340.5  340.7  340.5
  250.0  10980  -43.1  -65.1      7   0.02    330     19  341.9  342.0  341.9
  239.0  11278  -45.9  -65.5      9   0.02    335     19  342.1  342.2  342.1
  223.0  11738  -50.1  -66.1     13   0.02    330     18  342.4  342.6  342.5
  207.8  12192  -53.6  -70.2     11   0.01    325     17  343.9  344.0  343.9
  200.0  12440  -55.5  -72.5     10   0.01    305     19  344.7  344.8  344.7
  198.2  12497  -56.0  -73.1     10   0.01    305     20  344.9  344.9  344.9
  186.0  12898  -59.1  -77.1      8   0.01    318     21  346.1  346.1  346.1
  179.9  13106  -60.1  -78.4      7   0.00    325     22  347.9  347.9  347.9
  170.0  13457  -61.7  -80.7      6   0.00    323     21  350.8  350.8  350.8
  157.0  13944  -65.3  -83.3      7   0.00    321     21  352.8  352.8  352.8
  150.0  14220  -67.1  -84.1      7   0.00    320     20  354.3  354.3  354.3
  132.0  14981  -72.1  -87.1      9   0.00    305     12  358.6  358.6  358.6
  131.0  15025  -71.5  -85.5     11   0.00    302     13  360.4  360.4  360.4
  126.3  15240  -71.9  -86.8      9   0.00    290     18  363.5  363.5  363.5
  121.0  15492  -72.3  -88.3      7   0.00    302     16  367.2  367.2  367.2
  117.0  15691  -70.5  -87.5      7   0.00    311     15  374.1  374.1  374.1
  105.0  16326  -74.1  -93.1      4   0.00    341     10  379.0  379.0  379.0
  100.0  16610  -73.9  -92.9      4   0.00    355      8  384.7  384.7  384.7
